업태별(1),주소지별(1),2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018
업태별(1),주소지별(1),합계,합계,합계,과세소득,과세소득,과세소득,결손소득,결손소득,결손소득,합계,합계,합계,과세소득,과세소득,과세소득,결손소득,결손소득,결손소득,합계,합계,합계,과세소득,과세소득,과세소득,결손소득,결손소득,결손소득,합계,합계,합계,과세소득,과세소득,과세소득,결손소득,결손소득,결손소득,합계,합계,합계,과세소득,과세소득,과세소득,결손소득,결손소득,결손소득
업태별(1),주소지별(1),건수 (건),총수입금액 (백만원),소득금액 (백만원),건수 (건),총수입금액 (백만원),소득금액 (백만원),건수 (건),총수입금액 (백만원),소득금액 (백만원),건수 (건),총수입금액 (백만원),소득금액 (백만원),건수 (건),총수입금액 (백만원),소득금액 (백만원),건수 (건),총수입금액 (백만원),소득금액 (백만원),건수 (건),총수입금액 (백만원),소득금액 (백만원),건수 (건),총수입금액 (백만원),소득금액 (백만원),건수 (건),총수입금액 (백만원),소득금액 (백만원),건수 (건),총수입금액 (백만원),소득금액 (백만원),건수 (건),총수입금액 (백만원),소득금액 (백만원),건수 (건),총수입금액 (백만원),소득금액 (백만원),건수 (건),총수입금액 (백만원),소득금액 (백만원),건수 (건),총수입금액 (백만원),소득금액 (백만원),건수 (건),총수입금액 (백만원),소득금액 (백만원)
합계,전남,150594,20718012,1848473,141712,20111184,1915145,8882,606828,-66672,164181,21889238,2206357,155149,21214835,2286548,9032,674403,-80191,178141,22826572,2318795,168176,22207973,2391728,9965,618599,-72933,190000,24512932,2547787,178390,23812755,2634251,11610,700177,-86464,190000,24512932,2547787,178390,23812755,2634251,11610,700177,-86464
합계,대구,270834,51763290,5217745,257049,50201299,5398305,13785,1561991,-180560,291018,53392219,6075346,276494,51808735,6289954,14524,1583484,-214608,307925,55122728,6187422,291665,53437597,6421845,16260,1685131,-234423,328778,57317050,6474969,309159,55287233,6736344,19619,2029817,-261375,328778,57317050,6474969,309159,55287233,6736344,19619,2029817,-261375
합계,경북,228720,35283927,3284549,216712,34122465,3381586,12008,1161462,-97037,248457,36245420,3736851,236086,34971145,3869312,12371,1274275,-132461,266209,37296009,3854252,252391,35941903,3984990,13818,1354106,-130738,286332,39556099,4172723,269115,38090343,4327212,17217,1465756,-154489,286332,39556099,4172723,269115,38090343,4327212,17217,1465756,-154489
합계,부산,384889,65747618,6595948,361267,63080377,6941698,23622,2667241,-345750,407808,67291987,6772785,383973,64748792,7985674,23835,2543195,-1212889,434631,69050965,7654195,408834,66363596,8085281,25797,2687369,-431086,460201,70961627,8021302,429887,67942359,8501212,30314,3019268,-479910,460201,70961627,8021302,429887,67942359,8501212,30314,3019268,-479910
합계,울산,113846,17228522,1835856,108519,16698318,1904044,5327,530204,-68188,122959,18245560,2148013,117337,17617935,2229700,5622,627625,-81687,132490,18145950,2109703,126053,17480563,2192088,6437,665387,-82385,140348,18416389,2133803,132559,17659420,2226942,7789,756969,-93139,140348,18416389,2133803,132559,17659420,2226942,7789,756969,-93139
합계,경남,327533,54375686,5135883,307720,52223945,5359935,19813,2151741,-224052,353677,56075871,5952441,333558,53933764,6213091,20119,2142107,-260650,379112,64894829,5904176,356176,62447897,6196721,22936,2446932,-292545,406453,58651111,6173466,379501,55966004,6487971,26952,2685107,-314505,406453,58651111,6173466,379501,55966004,6487971,26952,2685107,-314505
합계,제주,62640,9519058,925664,58038,9114177,967954,4602,404881,-42290,71299,11043289,1249791,66531,10635290,1304249,4768,407999,-54458,80276,12549561,1448099,74414,12098449,1510850,5862,451112,-62751,89064,13599929,1570565,81887,13064085,1660233,7177,535844,-89668,89064,13599929,1570565,81887,13064085,1660233,7177,535844,-89668
농·임·어업,합계,25570,7346218,405229,17916,6653455,468585,7654,692763,-63356,25315,7433783,522105,19742,6846750,569557,5573,587033,-47452,26193,6901676,453820,19016,6197552,518379,7177,704124,-64559,26034,7533954,657183,18968,6938872,708626,7066,595081,-51443,26034,7533954,657183,18968,6938872,708626,7066,595081,-51443
농·임·어업,서울,320,136052,10310,244,123115,13864,76,12937,-3554,356,125422,16036,300,116581,17836,56,8841,-1800,360,106392,8545,284,86922,11190,76,19470,-2645,373,104293,9833,312,93677,12755,61,10616,-2922,373,104293,9833,312,93677,12755,61,10616,-2922
농·임·어업,인천,692,186441,9645,598,175233,10687,94,11208,-1042,787,186269,11796,709,171802,13047,78,14467,-1251,771,185688,11610,666,176194,14168,105,9494,-2558,818,207193,15963,726,198291,16948,92,8902,-985,818,207193,15963,726,198291,16948,92,8902,-985
농·임·어업,경기,2789,1020476,46983,1817,879575,60472,972,140901,-13489,2913,950545,50367,2172,800580,63957,741,149965,-13590,2938,857338,35274,2109,688364,51545,829,168974,-16271,2962,962269,89616,2164,839304,96998,798,122965,-7382,2962,962269,89616,2164,839304,96998,798,122965,-7382
농·임·어업,강원,2038,397146,24054,1515,363439,25240,523,33707,-1186,1836,373797,25479,1499,345994,27850,337,27803,-2371,2139,367802,23879,1528,329437,27993,611,38365,-4114,2070,406154,41477,1427,380677,43622,643,25477,-2145,2070,406154,41477,1427,380677,43622,643,25477,-2145
