행정구역,2009년12월_총인구수,2009년12월_세대수,2009년12월_세대당 인구,2009년12월_남자 인구수,2009년12월_여자 인구수,2009년12월_남여 비율,2010년12월_총인구수,2010년12월_세대수,2010년12월_세대당 인구,2010년12월_남자 인구수,2010년12월_여자 인구수,2010년12월_남여 비율,2011년12월_총인구수,2011년12월_세대수,2011년12월_세대당 인구,2011년12월_남자 인구수,2011년12월_여자 인구수,2011년12월_남여 비율,2012년12월_총인구수,2012년12월_세대수,2012년12월_세대당 인구,2012년12월_남자 인구수,2012년12월_여자 인구수,2012년12월_남여 비율,2013년12월_총인구수,2013년12월_세대수,2013년12월_세대당 인구,2013년12월_남자 인구수,2013년12월_여자 인구수,2013년12월_남여 비율,2014년12월_총인구수,2014년12월_세대수,2014년12월_세대당 인구,2014년12월_남자 인구수,2014년12월_여자 인구수,2014년12월_남여 비율,2015년12월_총인구수,2015년12월_세대수,2015년12월_세대당 인구,2015년12월_남자 인구수,2015년12월_여자 인구수,2015년12월_남여 비율,2016년12월_총인구수,2016년12월_세대수,2016년12월_세대당 인구,2016년12월_남자 인구수,2016년12월_여자 인구수,2016년12월_남여 비율,2017년12월_총인구수,2017년12월_세대수,2017년12월_세대당 인구,2017년12월_남자 인구수,2017년12월_여자 인구수,2017년12월_남여 비율,2018년12월_총인구수,2018년12월_세대수,2018년12월_세대당 인구,2018년12월_남자 인구수,2018년12월_여자 인구수,2018년12월_남여 비율
제주특별자치도  (5000000000),562663,217711,2.58,281319,281344,1,571255,224713,2.54,285582,285673,1,576156,227873,2.53,288152,288004,1,583713,232141,2.51,292213,291500,1,593806,238465,2.49,297504,296302,1,607346,246516,2.46,304656,302690,1.01,624395,256928,2.43,313428,310967,1.01,641597,266972,2.4,322545,319052,1.01,657083,278203,2.36,330823,326260,1.01,667191,287104,2.32,335719,331472,1.01
제주특별자치도 제주시 (5011000000),410378,157704,2.6,204689,205689,1,417539,162824,2.56,208215,209324,0.99,422790,165494,2.55,210873,211917,1,429656,168658,2.55,214588,215068,1,438165,173370,2.53,219029,219136,1,448834,179090,2.51,224581,224253,1,459876,185874,2.47,230223,229653,1,470665,192353,2.45,235977,234688,1.01,478700,198454,2.41,240465,238235,1.01,485946,204621,2.37,243974,241972,1.01
제주특별자치도 서귀포시 (5013000000),152285,60007,2.54,76630,75655,1.01,153716,61889,2.48,77367,76349,1.01,153366,62379,2.46,77279,76087,1.02,154057,63483,2.43,77625,76432,1.02,155641,65095,2.39,78475,77166,1.02,158512,67426,2.35,80075,78437,1.02,164519,71054,2.32,83205,81314,1.02,170932,74619,2.29,86568,84364,1.03,178383,79749,2.24,90358,88025,1.03,181245,82483,2.2,91745,89500,1.03
